City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
164,Mercedes,AR,-34.6515,-59.4307,70.75,48,2,18.12,clear sky
165,Oume,JP,35.7839,139.2431,41.86,74,20,0.0,few clouds
166,Clyde River,CA,70.4692,-68.5914,5.23,78,0,20.71,haze
167,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,40,11.18,scattered clouds
168,Hudiksvall,SE,61.729,17.1036,13.53,90,9,6.11,clear sky
169,Longyearbyen,SJ,78.2186,15.6401,3.04,72,40,12.66,scattered clouds
170,Batagay-Alyta,RU,67.8006,130.4114,-33.05,94,11,4.34,few clouds
171,Pachperwa,IN,27.5167,82.65,52.65,63,0,4.97,clear sky
172,Shenjiamen,CN,29.9576,122.298,55.11,65,96,16.08,overcast clouds
173,Kruisfontein,ZA,-34.0033,24.7314,67.19,90,43,1.74,scattered clouds
174,Luderitz,NA,-26.6481,15.1594,66.24,92,9,3.24,clear sky
175,Pudozh,RU,61.8099,36.5345,16.3,92,90,5.55,overcast clouds
176,Dourbali,TD,11.8091,15.8632,73.26,15,14,8.99,few clouds
177,Makakilo City,US,21.3469,-158.0858,82.15,61,0,9.22,clear sky
178,Pacific Grove,US,36.6177,-121.9166,58.41,66,0,1.99,clear sky
179,Avera,US,33.194,-82.5271,56.71,64,0,10.51,clear sky
180,Saint-Leu,RE,-21.15,55.2833,76.06,84,37,4.36,light rain
181,Bethel,US,41.3712,-73.414,39.54,83,100,3.0,overcast clouds
182,Kutum,SD,14.2,24.6667,59.54,33,64,8.21,broken clouds
183,Yazykovo,RU,55.2199,56.1353,-2.0,100,97,3.0,overcast clouds
184,Puerto Escondido,MX,15.85,-97.0667,80.51,64,3,4.34,clear sky
185,Fallon,US,39.4735,-118.7774,41.92,67,75,6.91,broken clouds
186,Yablochnyy,RU,47.1661,142.0661,17.04,71,100,15.28,overcast clouds
187,Fort-Shevchenko,KZ,44.5086,50.263,38.08,67,11,11.92,few clouds
188,Fairview,US,40.8126,-73.999,42.22,85,100,17.27,light rain
189,Krasnyye Barrikady,RU,46.2045,47.8535,26.56,80,0,8.95,clear sky
190,Bathsheba,BB,13.2167,-59.5167,81.21,90,40,16.11,light rain
191,Labuhan,ID,-6.8844,112.2051,78.35,83,100,8.39,light rain
192,Aykhal,RU,66.0,111.5,-20.52,100,99,6.91,overcast clouds
193,Magadan,RU,59.5667,150.8,-2.6,73,65,19.17,broken clouds
194,Pafos,CY,34.7667,32.4167,58.78,88,20,6.91,few clouds
195,Fernie,CA,49.5,-115.0687,28.6,98,91,2.04,overcast clouds
196,Samarai,PG,-10.6167,150.6667,83.41,73,86,4.74,light rain
197,Salmas,IR,38.1973,44.7653,37.27,79,3,2.26,clear sky
198,Fuerte Olimpo,PY,-21.0415,-57.8738,92.91,26,0,9.17,clear sky
199,Luwuk,ID,-0.9516,122.7875,78.75,82,97,2.86,overcast clouds
200,Luba,GQ,3.4568,8.5547,78.69,82,65,6.93,broken clouds
201,Atar,MR,20.5169,-13.0499,75.15,33,0,6.8,clear sky
202,Vardo,NO,70.3705,31.1107,35.58,87,75,18.41,broken clouds
203,Estelle,US,29.8458,-90.1067,62.6,47,0,6.91,clear sky
204,Kem,RU,64.9555,34.5793,14.88,86,34,17.54,scattered clouds
205,Esperance,AU,-33.8667,121.9,62.74,69,24,15.61,few clouds
206,Chingirlau,KZ,51.095,54.0814,19.31,69,76,7.38,broken clouds
207,Shingu,JP,33.7333,135.9833,40.84,74,6,5.88,clear sky
208,Kathu,TH,7.9178,98.3332,76.82,84,65,13.24,broken clouds
209,Igrim,RU,63.1906,64.4162,12.92,93,100,8.48,overcast clouds
210,Saskylakh,RU,71.9167,114.0833,-32.82,100,99,1.03,overcast clouds
211,Hovd,MN,48.0056,91.6419,-4.95,61,0,5.14,clear sky
212,Marsh Harbour,BS,26.5412,-77.0636,76.48,70,8,12.93,clear sky
213,Mbandaka,CD,0.0487,18.2603,72.95,82,44,2.24,scattered clouds
214,Biak,ID,-0.9131,122.8766,77.27,81,92,3.13,overcast clouds
215,Abeche,TD,13.8292,20.8324,69.85,18,85,11.9,overcast clouds
